,url
14742,"<meta content=""London band returns for album number two, and the record manages to be both wildly overwrought and painfully dull."" data-react-helmet=""true"" name=""description"" property=""description""/>"
16500,"<meta content=""A raw, high-energy run-through of their early live set, the Beatles' debut is also the sound of rock'n'roll finding a suddenly large, new audience."" data-react-helmet=""true"" name=""description"" property=""description""/>"
12224,"<meta content=""Garage-rock wunderkind Ty Segall's collaborative album with Tim Presley of White Fence is an absorbing maze of detours. They're the sort of people who seemingly enjoy pulling support beams out of songs to see how they hop along without them."" data-react-helmet=""true"" name=""description"" property=""description""/>"
4278,"<meta content=""Where his former band AIDS Wolf built an in-your-face wall, Alexander Moskos's smoky, hazy solo project Drainolith is all skeleton. On his second album Hysteria, produced by Royal Trux's Neil Michael Hagerty, everything emerges in semi-slow motion."" data-react-helmet=""true"" name=""description"" property=""description""/>"
1182,"<meta content=""Steven Julien specializes in a jubilantly no-frills strain of house and techno, and his debut album is bare-bones—just gnarled acid sequences, bare-knuckle drum programming, and drifting synths."" data-react-helmet=""true"" name=""description"" property=""description""/>"
8251,"<meta content=""In 2013, the Russian electronic producer and DJ Nina Kraviz was the focus of discussions on feminism and raw sexuality in club culture. Mr. Jones, her first material in 18 months, is a 54-minute double EP."" data-react-helmet=""true"" name=""description"" property=""description""/>"
3740,"<meta content=""Active Child's Mercy feels like the soundtrack to a beach that is never too far away, so the taste of salt is still on your tongue. It is studiously lovely, like a brochure for paradise, and over its course it begins to feels like a sunset in Grand Theft Auto V: beautiful, but a replica."" data-react-helmet=""true"" name=""description"" property=""description""/>"
5517,"<meta content=""Referencing writers like H.P. Lovecraft and Thomas Ligotti in heavy music is not a necessarily novel concept, but Raspberry Bulbs' new Privacy successfully transposes the intangible dread of these influential horror authors into a salvo of cold, sharp jolts to the psyche."" data-react-helmet=""true"" name=""description"" property=""description""/>"
8918,"<meta content=""Bruce Springsteen’s 18th record, High Hopes, is a collection of new recordings of songs he's been playing for 10 or 12 years. They're essentially outtakes from The Rising, Magic, and Working on a Dream*,* but Springsteen re-recorded them with producer Ron Aniello—often with Tom Morello on guitar—and sequenced them into an album."" data-react-helmet=""true"" name=""description"" property=""description""/>"
9312,"<meta content=""The Danish producer Trentemøller's followup to 2010's Into The Great Wide Yonder features vocals from members of Low, the Drums' Jonny Pierce, Lower Dens' Jana Hunter, Kazu Makino of Blonde Redhead, the Raveonettes' Sune Rose Wagner, and others."" data-react-helmet=""true"" name=""description"" property=""description""/>"
19894,"<meta content=""Second full-length from Thrill Jockey's cheeseball indie R&amp;B; duo fares only marginally better than Har Mar. Maybe there's a reason this stuff usually gets left to the majors?"" data-react-helmet=""true"" name=""description"" property=""description""/>"
16628,"<meta content=""Real-deal old-school funk and soul singer makes a tremendous comeback on a record that mixes elements of the Stax, Muscle Shoals, and Philly soul sounds."" data-react-helmet=""true"" name=""description"" property=""description""/>"
4512,"<meta content=""East Coast fans of West Coast rap, rejoice: a new Roach Gigz project has arrived in time for warmer weather. His writing is unusually introspective and tranquil, dabbling in loose ruminations that might surface while lounging (a bit faded) on a beach at sundown."" data-react-helmet=""true"" name=""description"" property=""description""/>"
16856,"<meta content=""One half of Metallic Falcons, New York-based songwriter gathers a cast of Chicago indie all-stars to help craft this solo record."" data-react-helmet=""true"" name=""description"" property=""description""/>"
2686,"<meta content=""BJ the Chicago Kid's first major-label release is a tender update on classic Chicago soul, featuring guest spots from Kendrick Lamar, Chance the Rapper, and Big K.R.I.T."" data-react-helmet=""true"" name=""description"" property=""description""/>"
21395,"<meta content=""I Don't Wanna"" data-react-helmet=""true"" name=""description"" property=""description""/>"
19381,"<meta content=""A year after its UK release, Milwaukee-based instrumentalists' debut hits the U.S., full to the brim with digitally precise percussive landscapes and mesmerizing acoustic ballads."" data-react-helmet=""true"" name=""description"" property=""description""/>"
14817,"<meta content=""Compiling tunes from the two early Body Talk mini-LPs and adding worthy new material, Robyn ends a great year on a high note."" data-react-helmet=""true"" name=""description"" property=""description""/>"
15349,"<meta content=""Stylistically diverse though still identifiably his work, the new record from Jamie Lidell enlists a huge cast-- including Beck, Feist, and Grizzly Bear."" data-react-helmet=""true"" name=""description"" property=""description""/>"
6574,"<meta content=""Chrissie Hynde has been making records for over three decades now, but until now she’s never released a proper “solo” record. Stockholm was recorded in the album’s titular city with Peter Bjorn and John's Bjorn Yttling, and also features contributions from Neil Young, the Ceasars’ Joakin Ahlund, and tennis legend John McEnroe."" data-react-helmet=""true"" name=""description"" property=""description""/>"
13021,"<meta content=""The Roots' 13th album, which includes a brief, four-part orchestral suite that builds off a Sufjan Stevens piece, is definitely their most downbeat. It's a concept record that tells the story of a man dying, in reverse."" data-react-helmet=""true"" name=""description"" property=""description""/>"
19178,"<meta content=""After the straightforward radio-rock trappings of the Raconteurs, the back-to-basics Icky Thump packs an unexpected freshness, resulting in the best White Stripes album in years."" data-react-helmet=""true"" name=""description"" property=""description""/>"
1703,"<meta content=""Composer Olga Bell's Tempo resembles dance music as glimpsed through a funhouse mirror: strangely distorted, sometimes goofy, and deeply pleasing on a simple, almost childlike level."" data-react-helmet=""true"" name=""description"" property=""description""/>"
10676,"<meta content=""The Stones Throw drummer/producer has worked with everyone from Paul McCartney to Common and tours with Diana Krall. His first solo offering is a grand addition to the ever-expanding canon of instrumental hip-hop beat tapes."" data-react-helmet=""true"" name=""description"" property=""description""/>"
21595,"<meta content=""It all comes back to a good melody, doesn't it? I don't want to come off like a ..."" data-react-helmet=""true"" name=""description"" property=""description""/>"
5580,"<meta content='On their new album, Heartless, Tokyo duo Jesse Ruins move from lush synth-pop to aggressive dance sounds. Featuring tracks like ""She Is in Instagram"", ""Forgot Your Account"", and ""URL Sinking"", it’s a work shaped by the mad pace of the Internet.' data-react-helmet=""true"" name=""description"" property=""description""/>"
15858,"<meta content=""Marking a transition between their garage rock roots and a new DFA-esque friendly sound, the UK band deliver a record of two very different sides."" data-react-helmet=""true"" name=""description"" property=""description""/>"
16056,"<meta content=""The mysterious and often rapturous Norwegian avant-garde collective releases its first record as a trio."" data-react-helmet=""true"" name=""description"" property=""description""/>"
19715,"<meta content=""The Big Bang"" data-react-helmet=""true"" name=""description"" property=""description""/>"
18960,"<meta content=""Goodbye"" data-react-helmet=""true"" name=""description"" property=""description""/>"
4267,"<meta content=""Donnie Trumpet and the Social Experiment serve as Chance the Rapper's touring band, and on Surf, he and the group tap into a wide-ranging, joyfully meandering spirit. The album touches on a multitude of ideas and moods, but above all, it's a celebration of friendship and a tribute to the alchemic power of collaboration."" data-react-helmet=""true"" name=""description"" property=""description""/>"
13660,"<meta content=""Swedish duo I Break Horses immerse themselves in homemade shoegaze, the kind that's made by computers for computers. It's an approach and sound that's crossed language barriers for the past 20 or so years as bands strive to approximate Loveless without the benefit of a label they can bankrupt in the process."" data-react-helmet=""true"" name=""description"" property=""description""/>"
10317,"<meta content=""On Parenthetical Girls' fourth album, the Portland indie-pop band's first since 2008, leader Zach Pennington plays the part of the amoral schoolboy fated to be caught in bed in a scandalous tryst with the headmistress or -master."" data-react-helmet=""true"" name=""description"" property=""description""/>"
2190,"<meta content=""Drake's fourth proper album feels claustrophobic and too long and weirdly monotone, but the occasional tweaks in sound lead to a few great moments."" data-react-helmet=""true"" name=""description"" property=""description""/>"
21608,"<meta content=""After Brainiac's untimely demise, few in the indie realm were expecting much of a comeback from any of its ..."" data-react-helmet=""true"" name=""description"" property=""description""/>"
20619,"<meta content=""Southern Baptist imagery meets klezmer/rockabilly on this band's second album."" data-react-helmet=""true"" name=""description"" property=""description""/>"
17175,"<meta content=""This covers album finds the 60s legend working with Antony, Jarvis Cocker, and Cat Power and tackling songs by Morrissey, Brian Eno, the Decemberists, Neko Case, and Duke Ellington, among others."" data-react-helmet=""true"" name=""description"" property=""description""/>"
22102,"<meta content=""Living on the New Hampshire seacoast, I can relate to the state of mind that might drive one to bossa ..."" data-react-helmet=""true"" name=""description"" property=""description""/>"
6874,"<meta content=""Stephen McBean has always made music for the open road, but if you value your own safety, don’t listen to Get Back, his first record as Pink Mountaintops in five years, while behind the wheel—or for that matter, while doing anything that requires specific and steady motor skills."" data-react-helmet=""true"" name=""description"" property=""description""/>"
20337,"<meta content=""Breezy, jazzy electronic pop painstakingly arranged by Hukkelberg and Shining producer Kåre Vestrheim."" data-react-helmet=""true"" name=""description"" property=""description""/>"
3060,"<meta content=""Wreckless Eric, born Eric Goulden, is a cult power-pop artist who got his start on Stiff Records in the late 1970s. His new album, amERICa, is rooted in classicist rock gestures but fixated on the contemporary United States. It isn’t complacent or satisfied; he anatomizes his surroundings with the wide-eyed thrill of discovery."" data-react-helmet=""true"" name=""description"" property=""description""/>"
18575,"<meta content=""Brooklyn quartet's full-length debut is a catchy and ornate tapestry of pop produced by Spoon's Jim Eno."" data-react-helmet=""true"" name=""description"" property=""description""/>"
4419,"<meta content=""Paul de Jong, former cellist for the Books, uses his debut solo album IF to return refreshed and willing to reveal sides previously overshadowed. The cello was merely an instrument in the Books’ work, but here it becomes its own character."" data-react-helmet=""true"" name=""description"" property=""description""/>"
16391,"<meta content=""The eclectic dance duo dial it back a bit on the most effective parts of their latest album."" data-react-helmet=""true"" name=""description"" property=""description""/>"
15022,"<meta content=""Popular in the UK and basically ignored at home, We Are Scientists have now enlisted a Razorlight member for their latest LP of lukewarm indie-dance."" data-react-helmet=""true"" name=""description"" property=""description""/>"
2983,"<meta content=""San Franciso funk outsider Doug Hream Blunt has been championed by the likes of Ariel Pink and former Hype Williams member Dean Blunt, who took his name. David Byrne’s Luaka Bop imprint makes the once obscure Blunt readily acccessible with the My Name Is compilation."" data-react-helmet=""true"" name=""description"" property=""description""/>"
17611,"<meta content=""Sequenced like a DJ mix, Minilogue's debut LP offers four sides of music-- two of traditional Minilogue tech-house fare and two dedicated to ambient platters-- that clock in at more than two-and-a-half hours; it takes dedication, but its rewards come mostly in the form of dark, room-shading atmospheres, no matter the tempo."" data-react-helmet=""true"" name=""description"" property=""description""/>"
21434,"<meta content=""Scout Niblett's music is as monomaniacal as a student at practice. When she plays drums or guitar, or worst ..."" data-react-helmet=""true"" name=""description"" property=""description""/>"
14886,"<meta content=""The beloved pop duo enlists rising producer Ben Allen to flesh out their bang-and-bash sound with more studio flourishes and varied instrumentation."" data-react-helmet=""true"" name=""description"" property=""description""/>"
19852,"<meta content=""Organ-and-drums duo gingerly lift the moratorium on six-strings and explore a more varied sonic palette, resulting in their best album to date."" data-react-helmet=""true"" name=""description"" property=""description""/>"
21415,"<meta content=""Let me start with a confession; for several years I was a card-carrying No Depressionist. I didn't dress funny ..."" data-react-helmet=""true"" name=""description"" property=""description""/>"
5307,"<meta content=""Young L was the mastermind of Lil B's old group the Pack, and he's been on a strange and interesting path in the years since. While he may not wield his influence as visibly as Lil B, he’s usually a couple steps ahead of the game."" data-react-helmet=""true"" name=""description"" property=""description""/>"
19975,"<meta content=""Long-awaited U.S. release from this at times perplexing electronic British outfit, who come across like a mellow, hip-hop-lovin' version of LCD Soundsystem."" data-react-helmet=""true"" name=""description"" property=""description""/>"
19807,"<meta content=""Thirsty Ear's Blue Series-- which forcibly boggles the vocabularies of modern jazz, electronics, and hip-hop-- offers a cross-textual platform for the former Antipop Consortium iconoclast."" data-react-helmet=""true"" name=""description"" property=""description""/>"
1738,"<meta content=""Jessy Lanza's latest is a gorgeous and deadly pop music manifesto, full of pent-up nervous energy set to release."" data-react-helmet=""true"" name=""description"" property=""description""/>"
